,,0
Stroma,Stroma,7.938700384306102
Stroma,Tumor_Ki67,-6.325703553728721
Stroma,Tumor,-10.52022680195028
Stroma,CD4_other,1.6500738702850009
Stroma,HLADR,2.2547885345463805
Stroma,Macrophage,0.6724682670513026
Stroma,CD8_other,0.8402620194107316
Stroma,pDC,0.3291830111323279
Stroma,DC,1.6985839381768202
Stroma,NK_cell,-0.7384510924213291
Stroma,Treg,0.7318369707457111
Stroma,CD38,2.0215278175691256
Stroma,cytolytic_CD8,1.5340051684978429
Stroma,Neutrophil,-0.7173520373553389
Tumor_Ki67,Tumor_Ki67,6.729273943540158
Tumor_Ki67,Tumor,4.812487333911917
Tumor_Ki67,CD4_other,-1.8084011747640292
Tumor_Ki67,HLADR,-2.1407370700699024
Tumor_Ki67,Macrophage,-3.856949401648104
Tumor_Ki67,CD8_other,-1.1151081534169578
Tumor_Ki67,pDC,-0.211379119352237
Tumor_Ki67,DC,-1.2895732731516465
Tumor_Ki67,NK_cell,-1.2815949459198692
Tumor_Ki67,Treg,2.224228938980605
Tumor_Ki67,CD38,-1.6446219327014475
Tumor_Ki67,cytolytic_CD8,-0.9898102212299384
Tumor_Ki67,Neutrophil,-0.7319745408718095
Tumor,Tumor,10.46587674627463
Tumor,CD4_other,-4.876515942776365
Tumor,HLADR,-5.038197848188898
Tumor,Macrophage,-2.3118799326236865
Tumor,CD8_other,-2.4544426736528613
Tumor,pDC,-1.5151526086846954
Tumor,DC,-2.927489566939012
Tumor,NK_cell,0.3986974058975278
Tumor,Treg,-2.971315999227657
Tumor,CD38,-2.811098564747942
Tumor,cytolytic_CD8,-1.5855042065409737
Tumor,Neutrophil,0.0039344778295594
CD4_other,CD4_other,5.628506861100785
CD4_other,HLADR,0.8531442636852276
CD4_other,Macrophage,1.3182632176818765
CD4_other,CD8_other,-1.0264940993810163
CD4_other,pDC,-0.5883484054145526
CD4_other,DC,0.7228053165915117
CD4_other,NK_cell,-0.5782416175043615
CD4_other,Treg,4.709986075168078
CD4_other,CD38,3.084495972911059
CD4_other,cytolytic_CD8,2.1789186108510576
CD4_other,Neutrophil,-0.2743516305843674
HLADR,HLADR,4.417461598458387
HLADR,Macrophage,1.722958614544919
HLADR,CD8_other,1.5035002321751845
HLADR,pDC,3.848906528586986e-16
HLADR,DC,2.3793817751015283
HLADR,NK_cell,0.6809624800979577
HLADR,Treg,0.9044973995737184
HLADR,CD38,-1.0117899265173698
HLADR,cytolytic_CD8,-0.6241251403597576
HLADR,Neutrophil,1.7694444573490955
Macrophage,Macrophage,4.923282408862951
Macrophage,CD8_other,1.3034575662029446
Macrophage,pDC,-0.7079735955442452
Macrophage,DC,-0.1615965980808132
Macrophage,NK_cell,1.0026555942044084
Macrophage,Treg,-0.830861423649908
Macrophage,CD38,4.294699575575043
Macrophage,cytolytic_CD8,1.343165090100568
Macrophage,Neutrophil,-0.3950561531755325
CD8_other,CD8_other,11.023907496703345
CD8_other,pDC,2.3815497351733588
CD8_other,DC,1.1006389964025765
CD8_other,NK_cell,-0.4155813868856495
CD8_other,Treg,-0.7370738920264238
CD8_other,CD38,2.6457513110645894
CD8_other,cytolytic_CD8,-0.1517165212272519
CD8_other,Neutrophil,-0.1005037815259212
pDC,pDC,-0.1234035104684589
pDC,DC,1.4235540116540673
pDC,NK_cell,-0.2328451577119005
pDC,Treg,2.1352358877867266
pDC,CD38,7.56426638611185
pDC,cytolytic_CD8,-0.1234035104684593
pDC,Neutrophil,-0.1005037815259212
DC,DC,2.2382185572304074
DC,NK_cell,-0.601393267757588
DC,Treg,-1.0743875544860282
DC,CD38,-0.5474433209040432
DC,cytolytic_CD8,-0.3385995887898602
DC,Neutrophil,-0.2328451577119003
NK_cell,NK_cell,-0.1005037815259212
NK_cell,Treg,-0.5129151195709845
NK_cell,CD38,-0.263664022152322
NK_cell,cytolytic_CD8,-0.123403510468459
NK_cell,Neutrophil,-0.1758631145281645
Treg,Treg,-0.5231491547655687
Treg,CD38,-0.429223468988556
Treg,cytolytic_CD8,-0.2526455763199559
Treg,Neutrophil,-0.1672842166423223
CD38,CD38,5.686240703077328
CD38,cytolytic_CD8,-0.1904453466268296
CD38,Neutrophil,-0.1234035104684592
cytolytic_CD8,cytolytic_CD8,0.0
cytolytic_CD8,Neutrophil,0.0
Neutrophil,Neutrophil,0.0
